Podsumowanie: Taśma ma 5 talerzyków.
Danie 40 zł dla stolika 21.
Danie 60 zł dla stolika 76.
Danie 60 zł dla stolika 0.
Danie 50 zł dla stolika 28.
Danie 60 zł dla stolika 87.
Danie 50 zł dla stolika 39.
Danie 40 zł dla stolika 15.
Danie 40 zł dla stolika 41.
Danie 50 zł dla stolika 41.
Danie 40 zł dla stolika 89.
Danie 50 zł dla stolika 40.
Danie 50 zł dla stolika 25.
Danie 60 zł dla stolika 22.
Danie 40 zł dla stolika 11.
Danie 60 zł dla stolika 36.
Danie 60 zł dla stolika 38.
Danie 50 zł dla stolika 88.
Danie 50 zł dla stolika 5.
Danie 40 zł dla stolika 48.
Danie 60 zł dla stolika 84.
Danie 40 zł dla stolika 64.
Danie 50 zł dla stolika 79.
Danie 50 zł dla stolika 25.
Danie 60 zł dla stolika 25.
Danie 60 zł dla stolika 22.
Danie 40 zł dla stolika 39.
Danie 40 zł dla stolika 71.
Danie 40 zł dla stolika 72.
Danie 60 zł dla stolika 60.
Danie 60 zł dla stolika 55.
Danie 40 zł dla stolika 58.
Danie 60 zł dla stolika 55.
Danie 40 zł dla stolika 61.
Danie 60 zł dla stolika 86.
Danie 60 zł dla stolika 46.
Danie 40 zł dla stolika 49.
Danie 40 zł dla stolika 98.
Danie 60 zł dla stolika 93.
Danie 50 zł dla stolika 1.
Danie 50 zł dla stolika 93.
Danie 60 zł dla stolika 84.
Danie 40 zł dla stolika 90.
Danie 60 zł dla stolika 1.
Danie 40 zł dla stolika 0.
Danie 50 zł dla stolika 50.
Danie 60 zł dla stolika 10.
Danie 50 zł dla stolika 54.
Danie 50 zł dla stolika 58.
Danie 40 zł dla stolika 30.
Danie 60 zł dla stolika 28.
Danie 50 zł dla stolika 18.
Danie 50 zł dla stolika 39.
Danie 40 zł dla stolika 11.
Danie 50 zł dla stolika 43.
Danie 60 zł dla stolika 55.
Danie 40 zł dla stolika 40.
Danie 40 zł dla stolika 73.
Danie 40 zł dla stolika 47.
Danie 60 zł dla stolika 44.
Danie 60 zł dla stolika 87.
Danie 60 zł dla stolika 7.
Danie 60 zł dla stolika 54.
Danie 40 zł dla stolika 67.
Danie 50 zł dla stolika 28.
Danie 60 zł dla stolika 60.
Danie 40 zł dla stolika 74.
Danie 60 zł dla stolika 39.
Danie 50 zł dla stolika 99.
Danie 60 zł dla stolika 49.
Danie 60 zł dla stolika 66.
Danie 40 zł dla stolika 83.
Danie 40 zł dla stolika 96.
Danie 40 zł dla stolika 36.
Danie 40 zł dla stolika 82.
Danie 40 zł dla stolika 46.
Danie 40 zł dla stolika 27.
Danie 60 zł dla stolika 72.
Danie 50 zł dla stolika 67.
Danie 60 zł dla stolika 98.
Danie 40 zł dla stolika 89.
Danie 60 zł dla stolika 57.
Danie 60 zł dla stolika 90.
Danie 60 zł dla stolika 80.
Danie 40 zł dla stolika 50.
Danie 40 zł dla stolika 84.
Danie 60 zł dla stolika 38.
Danie 40 zł dla stolika 75.
Danie 50 zł dla stolika 76.
Danie 60 zł dla stolika 81.
Danie 60 zł dla stolika 96.
Danie 60 zł dla stolika 33.
Danie 40 zł dla stolika 33.
Danie 60 zł dla stolika 10.
Danie 50 zł dla stolika 96.
Danie 50 zł dla stolika 1.
Danie 50 zł dla stolika 67.
Danie 60 zł dla stolika 52.
Danie 50 zł dla stolika 58.
Danie 50 zł dla stolika 99.
Danie 40 zł dla stolika 14.
Danie 40 zł dla stolika 76.
Danie 50 zł dla stolika 55.
Danie 50 zł dla stolika 38.
Danie 50 zł dla stolika 67.
Danie 40 zł dla stolika 95.
Danie 50 zł dla stolika 98.
Danie 40 zł dla stolika 91.
Danie 40 zł dla stolika 85.
Danie 60 zł dla stolika 37.
Danie 50 zł dla stolika 10.
Danie 60 zł dla stolika 71.
Danie 60 zł dla stolika 48.
Danie 60 zł dla stolika 39.
Danie 40 zł dla stolika 8.
Danie 60 zł dla stolika 18.
Danie 60 zł dla stolika 73.
Danie 40 zł dla stolika 78.
Danie 40 zł dla stolika 50.
Danie 50 zł dla stolika 13.
Danie 50 zł dla stolika 39.
Danie 50 zł dla stolika 84.
Danie 50 zł dla stolika 88.
Danie 50 zł dla stolika 21.
Danie 50 zł dla stolika 29.
Danie 60 zł dla stolika 10.
Danie 40 zł dla stolika 48.
Danie 60 zł dla stolika 21.
Danie 40 zł dla stolika 57.
Danie 60 zł dla stolika 6.
Danie 60 zł dla stolika 50.
Danie 50 zł dla stolika 91.
Danie 50 zł dla stolika 71.
Danie 60 zł dla stolika 4.
Danie 60 zł dla stolika 37.
Danie 60 zł dla stolika 42.
Danie 40 zł dla stolika 29.
Danie 60 zł dla stolika 65.
Danie 60 zł dla stolika 54.
Danie 50 zł dla stolika 46.
Danie 40 zł dla stolika 97.
Danie 60 zł dla stolika 75.
Danie 50 zł dla Grupa 2 osób obsłużona.
Grupa 1 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 3 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 1 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 3 osób obsłużona.
Grupa 3 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 3 osób obsłużona.
Grupa 1 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 1 osób obsłużona.
Grupa 3 osób obsłużona.
Grupa 3 osób obsłużona.
Grupa 1 osób obsłużona.
Grupa 1 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 3 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 1 osób obsłużona.
Grupa 1 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 1 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 1 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 3 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 3 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 3 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 1 osób obsłużona.
Grupa 1 osób obsłużona.
Grupa 1 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 3 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 1 osób obsłużona.
Grupa 3 osób obsłużona.
Grupa 1 osób obsłużona.
Grupa 1 osób obsłużona.
Grupa 1 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 3 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 1 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 3 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 3 osób obsłużona.
Grupa 1 osób obsłużona.
Grupa 3 osób obsłużona.
Grupa 3 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 1 osób obsłużona.
Grupa 3 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 1 osób obsłużona.
Grupa 3 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 3 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 3 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 1 osób obsłużona.
Grupa 1 osób obsłużona.
Grupa 3 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 3 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 1 osób obsłużona.
Grupa 1 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 1 osób obsłużona.
Grupa 1 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 1 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 3 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 1 osób obsłużona.
Grupa 1 osób obsłużona.
Grupa 1 osób obsłużona.
Grupa 3 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 1 osób obsłużona.
Grupa 1 osób obsłużona.
Grupa 3 osób obsłużona.
Grupa 2 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 4 osób obsłużona.
Grupa 3 osób obsłużona.
Grupa 3 osób obsłużona.
Grupa 1 osób obsłużona.
Grupa 1 osób obsłGrupa 2 osób w kolejce.
Grupa 1 osób w kolejce.
Grupa 4 osób w kolejce.
Grupa 2 osób w kolejce.
Grupa 2 osób w kolejce.
Grupa 2 osób w kolejce.
Grupa 4 osób w kolejce.
Grupa 3 osób w kolejce.
Grupa 2 osób w kolejce.
Grupa 1 osób w kolejce.
Grupa 4 osób w kolejce.
Grupa 3 osób w kolejce.
Grupa 3 osób w kolejce.
Grupa 2 osób w kolejce.
Grupa 3 osób w kolejce.
Grupa 1 osób w kolejce.
Grupa 2 osób w kolejce.
Grupa 2 osób w kolejce.
Grupa 4 osób w kolejce.
VIP grupa 4 osób przybyła.
Grupa 2 osób w kolejce.
Grupa 1 osób w kolejce.
Grupa 3 osób w kolejce.
Grupa 3 osób w kolejce.
Grupa 1 osób w kolejce.
Grupa 1 osób w kolejce.
Grupa 4 osób w kolejce.
Grupa 4 osób w kolejce.
Grupa 2 osób w kolejce.
Grupa 2 osób w kolejce.
Grupa 4 osób w kolejce.
Grupa 4 osób w kolejce.
Grupa 3 osób w kolejce.
Grupa 4 osób w kolejce.
Grupa 4 osób w kolejce.
Grupa 4 osób w kolejce.
Grupa 2 osób w kolejce.
Grupa 1 osób w kolejce.
Grupa 1 osób w kolejce.
Grupa 4 osób w kolejce.
Grupa 2 osób w kolejce.
Grupa 2 osób w kolejce.
Grupa 2 osób w kolejce.
Grupa 2 osób w kolejce.
Grupa 2 osób w kolejce.
Grupa 1 osób w kolejce.
Grupa 4 osób w kolejce.
